,average_fillable_items,avg_branching_factor,bound_gap_variance,bound_variance,capacity_density,capacity_ratio,capacity_utilization,cell_value_variance,cells_allocated,dp_mean_improvement_amount,dp_sum_improvement_amount,duplicate_items,duplicate_pairs,duplicate_ratio_fraction,exclude_count,explored_children,explored_generated_ratio,fill_rate,final_queue_size,first_improvement_node,first_skipped_position,improvement_count,include_count,include_ratio,internal_nodes,kendall_corr,last_improvement_node,last_selected_position,leaf_nodes,left_branches,max_bound,max_depth,max_queue_size,max_value,max_weight,mean_bound,mean_bound_gap,mean_cell_value,mean_depth,mean_improvement_amount,mean_queue_size,mean_ratio,mean_value,mean_weight,median_depth,median_ratio,median_value,median_weight,memory_bytes,memory_mb,min_bound,min_depth,min_value,min_weight,nodes_explored,nodes_generated,nodes_pruned,nonzero_value_states,pearson_corr,pruned_by_bound,pruned_by_cap,pruned_generated_ratio,ratio_entropy,residual_capacity,right_branches,selected_count,skipped_by_bound,skipped_by_cap,skipped_children,skipped_infeasible,slack,solution_density,solution_value,spearman_corr,std_ratio,std_value,std_weight,sum_improvement_amount,tie_count,time_millis,time_nanos,total_evaluations,total_value,total_weight,unique_pairs,unique_ratio_count,unique_values,unique_weights,updates_per_cell,value_cv,value_kurtosis,value_skewness,weight_cv,weight_kurtosis,weight_skewness,zero_value_states
nodes_explored,0.264369,0.291384,-0.025734,-0.059230,0.103304,0.103607,0.051965,0.275142,0.264501,0.071151,0.297065,0.281951,0.289653,0.291829,0.223821,0.560490,-0.387200,0.049119,0.321584,,0.302676,0.306657,0.285937,0.105744,0.564212,-0.086841,0.319251,0.200038,,0.330987,0.289962,0.220277,0.585970,-0.010836,0.058234,0.289922,-0.035340,0.301696,0.311639,0.045412,0.333587,0.052125,0.002666,0.001564,0.299899,-0.007185,0.002336,0.002886,0.580061,0.580062,0.290336,,-0.049200,-0.058267,1.000000,0.560490,0.123853,0.264501,-0.088468,0.067367,0.547094,-0.101044,-0.098955,0.196025,0.564121,0.301530,0.114550,,0.556377,0.556364,0.093370,0.126634,0.289842,-0.088329,0.079947,0.008457,0.017465,0.289836,0.242706,0.984507,0.984507,0.267147,0.187551,0.187080,0.141778,0.140530,0.181496,0.182120,0.287582,-0.002753,-0.032511,-0.004214,0.004075,-0.024082,-0.001595,-0.058267
nodes_generated,0.459605,0.596188,-0.049533,-0.101572,0.178941,0.179487,0.089703,0.481957,0.459738,0.125209,0.520632,0.487274,0.499915,0.503756,0.394982,1.000000,-0.768448,0.084254,0.665899,,0.523538,0.529280,0.497364,0.182615,0.991824,-0.152920,0.531882,0.348864,,0.675180,0.505943,0.374124,0.386176,-0.012115,0.099961,0.505878,-0.068614,0.527527,0.538141,0.080216,0.679355,0.091751,0.003825,0.002561,0.518013,-0.012623,0.003476,0.004818,0.381679,0.381680,0.506604,,-0.085443,-0.100037,0.560490,1.000000,0.066930,0.459737,-0.155347,0.115144,0.968489,-0.179486,-0.158809,0.346972,0.991928,0.521591,0.178504,,0.960256,0.960475,0.160231,0.217871,0.505729,-0.155110,0.140202,0.015380,0.030523,0.505722,0.401732,0.564868,0.564868,0.466207,0.324174,0.323479,0.245290,0.243143,0.313463,0.314443,0.498292,-0.003552,-0.054674,-0.006891,0.007478,-0.041262,-0.003024,-0.100037
nodes_pruned,0.073398,0.026137,-0.006156,-0.013270,0.025934,0.026068,0.013902,0.059423,0.073394,-0.004877,0.043995,-0.002273,-0.001373,0.013702,0.094918,0.066930,-0.029070,0.010978,0.025701,,0.061581,0.060181,0.068967,0.013859,0.044374,0.019584,0.089673,0.055023,,0.173519,0.052841,0.034729,0.302580,0.035872,0.013131,0.052860,-0.008585,0.038103,0.057181,0.004027,0.175482,-0.012344,-0.000937,0.000053,0.055780,-0.001887,-0.001500,-0.000000,0.152349,0.152349,0.052940,,-0.012348,-0.013265,0.123853,0.066930,1.000000,0.073393,0.019604,0.576715,0.025035,0.036557,0.039718,-0.013862,0.044331,0.061549,0.012172,,0.016133,0.016021,0.023159,0.016839,0.052859,0.019686,-0.012678,0.004120,0.004657,0.052857,0.061559,0.194484,0.194484,0.079837,0.049419,0.049653,0.054019,0.051123,0.047225,0.046849,0.063112,0.002020,-0.002394,0.003540,0.001652,-0.006233,0.000878,-0.013265
nonzero_value_states,0.999680,0.303833,0.594519,-0.014993,0.526984,0.528651,0.264729,0.930284,1.000000,0.141424,0.874901,0.271326,0.282797,0.318805,0.951322,0.459737,-0.315504,0.218451,0.266788,,0.985418,0.983661,0.959900,0.447944,0.459206,-0.000584,0.320079,0.802776,,0.291922,0.956184,0.627366,0.167698,0.216917,0.226123,0.956324,0.600911,0.890875,0.810854,0.162321,0.293268,-0.006020,0.005514,0.008007,0.837563,-0.027077,0.011628,0.010546,0.163488,0.163489,0.956730,,-0.205109,-0.225093,0.264501,0.459737,0.073393,1.000000,-0.000855,0.125382,0.436254,0.245871,-0.165016,0.079337,0.459204,0.986296,0.087106,,0.448526,0.448581,0.221107,0.495905,0.956324,0.000063,0.055718,0.068348,0.073743,0.956326,0.558443,0.266660,0.266660,0.964214,0.598626,0.598987,0.587898,0.588537,0.594068,0.593918,0.991737,0.015159,-0.084176,-0.003206,0.017687,-0.096984,-0.007819,-0.225093
pearson_corr,-0.000863,-0.046792,-0.014090,-0.551098,-0.000175,0.000342,0.289992,-0.091201,-0.000841,-0.887897,-0.152155,-0.395145,-0.400134,-0.400507,0.035781,-0.155347,0.120171,-0.029493,-0.082973,,-0.070592,-0.050204,-0.030350,-0.164140,-0.159672,0.998607,0.092455,0.108996,,-0.077899,-0.167961,-0.064361,-0.043354,0.366452,-0.031081,-0.166911,-0.012773,-0.246511,-0.014440,-0.785136,-0.076658,-0.627845,0.046813,-0.005313,-0.005496,-0.058901,0.015968,-0.006599,-0.052593,-0.052593,-0.164308,,0.020859,0.039839,-0.088468,-0.155347,0.019604,-0.000855,1.000000,0.033221,-0.145176,0.049798,0.432007,-0.491964,-0.158733,-0.065163,-0.111785,,-0.161410,-0.160417,-0.001283,-0.135166,-0.166925,0.999816,-0.623717,0.035209,-0.016030,-0.166891,0.163040,-0.082870,-0.082870,-0.000615,0.000662,-0.001404,0.082290,0.066923,-0.000686,-0.001263,-0.052389,-0.017517,0.076364,0.026617,-0.003865,-0.011506,0.002092,0.039839
pruned_by_bound,0.125365,0.045362,-0.010422,-0.022490,0.043987,0.044199,0.023575,0.101953,0.125384,-0.008076,0.075499,-0.003953,-0.002454,0.023181,0.163042,0.115144,-0.050706,0.018609,0.044821,,0.104908,0.102229,0.118030,0.023225,0.075895,0.033139,0.153267,0.094296,,0.300764,0.090360,0.058345,0.172843,0.061803,0.022301,0.090391,-0.014532,0.065203,0.096987,0.007322,0.304484,-0.020929,-0.001589,0.000192,0.094618,-0.003248,-0.002587,0.000029,0.086560,0.086560,0.090527,,-0.021040,-0.022496,0.067367,0.115144,0.576715,0.125382,0.033221,1.000000,0.043750,0.063815,0.069175,-0.023882,0.075878,0.104860,0.015813,,0.026782,0.026651,0.039737,0.028234,0.090388,0.033360,-0.021493,0.007009,0.007872,0.090387,0.103893,0.109361,0.109361,0.136816,0.084556,0.084968,0.092430,0.087487,0.080660,0.080035,0.107599,0.003435,-0.003964,0.005993,0.002700,-0.010589,0.001409,-0.022496
pruned_by_cap,0.436170,0.526739,-0.044448,-0.091576,0.171250,0.171869,0.084835,0.466532,0.436257,0.114668,0.508747,0.457176,0.469404,0.467390,0.369948,0.968489,-0.707739,0.076126,0.587804,,0.501639,0.506955,0.480081,0.180255,0.972880,-0.142784,0.539425,0.332283,,0.574274,0.485214,0.344296,0.329244,-0.020316,0.090036,0.485184,-0.061507,0.510123,0.511702,0.065506,0.580507,0.087605,0.005600,0.001269,0.493152,-0.009796,0.004482,0.003613,0.331590,0.331590,0.485920,,-0.075981,-0.089835,0.547094,0.968489,0.025035,0.436254,-0.145176,0.043750,1.000000,-0.169594,-0.159003,0.343774,0.974360,0.499802,0.055398,,0.956920,0.958681,0.139257,0.212070,0.485039,-0.144972,0.132637,0.012860,0.026779,0.485035,0.388989,0.544822,0.544822,0.445811,0.297649,0.296455,0.222708,0.220804,0.285879,0.287125,0.476214,-0.005533,-0.049943,-0.007806,0.007134,-0.036363,-0.002439,-0.089835
pruned_generated_ratio,0.246260,-0.159807,0.357565,0.456622,0.457951,0.464672,0.208364,0.162726,0.245881,0.155114,0.115865,-0.217299,-0.226655,-0.248592,0.231769,-0.179486,0.119301,0.163054,-0.099037,,0.181625,0.169695,0.158413,0.390353,-0.185086,0.048934,-0.098386,0.130665,,-0.082419,0.193932,-0.163490,-0.046259,0.069120,-0.008701,0.194058,0.496362,0.149065,-0.106060,0.180394,-0.083114,-0.006917,-0.041716,-0.052403,-0.063744,0.021965,-0.035186,-0.037534,-0.058173,-0.058173,0.193450,,-0.014232,-0.026313,-0.101044,-0.179486,0.036557,0.245871,0.049798,0.063815,-0.169594,1.000000,0.114531,-0.132902,-0.184700,0.183564,-0.068483,,-0.187811,-0.187431,-0.105065,0.408369,0.194333,0.049856,-0.032770,0.043974,0.054131,0.194346,-0.007532,-0.092710,-0.092710,0.184216,0.015308,0.016367,0.064309,0.066005,0.012974,0.012007,0.200471,0.064666,-0.005272,0.020990,0.080258,-0.011723,0.036716,-0.026313
ratio_entropy,-0.165129,-0.079308,-0.141695,-0.223140,0.021313,0.021073,0.024406,-0.193195,-0.164913,-0.355967,-0.210648,-0.257754,-0.271745,-0.222926,-0.109117,-0.158809,0.053022,-0.251554,-0.020686,,-0.242430,-0.242355,-0.178405,-0.050393,-0.175250,0.422199,-0.101292,-0.144818,,-0.006358,-0.248740,-0.373096,-0.003228,0.220226,-0.191324,-0.248303,-0.128962,-0.274518,-0.324339,-0.259108,-0.007281,-0.362936,0.001264,0.009528,-0.316585,-0.010640,-0.017576,0.000896,-0.017447,-0.017447,-0.246983,,0.200442,0.330036,-0.098955,-0.158809,0.039718,-0.165016,0.432007,0.069175,-0.159003,0.114531,1.000000,-0.183236,-0.174865,-0.237088,-0.066550,,-0.191297,-0.190950,-0.251507,-0.082573,-0.248315,0.430766,-0.422506,-0.042253,-0.105946,-0.248330,-0.071187,-0.086080,-0.086080,-0.152935,-0.276679,-0.275359,-0.242607,-0.259590,-0.287281,-0.290655,-0.228766,-0.008947,0.122036,0.047109,-0.053998,0.052940,0.028181,0.330036
residual_capacity,0.078996,0.179676,-0.106978,0.172199,0.321884,0.317688,-0.324639,0.108749,0.079379,0.413071,0.171090,0.207449,0.210182,0.211106,0.006032,0.346972,-0.287450,0.007356,0.212210,,0.125602,0.119051,0.077362,0.433599,0.350024,-0.489520,0.001854,-0.040728,,0.206040,0.168054,-0.078938,0.116707,-0.290188,-0.087863,0.167696,-0.122553,0.232602,0.055780,0.230867,0.204678,0.321922,0.002085,0.060696,0.054477,0.029615,0.011456,0.048199,0.124953,0.124952,0.166960,,0.120407,0.101414,0.196025,0.346972,-0.013862,0.079337,-0.491964,-0.023882,0.343774,-0.132902,-0.183236,1.000000,0.349023,0.121567,0.153104,,0.346062,0.345023,-0.216778,0.431530,0.167514,-0.492270,0.290470,-0.081280,-0.042186,0.167549,-0.045394,0.196665,0.196665,0.048663,-0.145680,-0.144867,-0.200806,-0.197468,-0.158591,-0.158685,0.100059,-0.038535,0.030251,-0.023193,-0.062676,0.079003,-0.055074,0.101414
right_branches,0.458959,0.517393,-0.049930,-0.102255,0.178444,0.178914,0.089563,0.481711,0.459204,0.126489,0.522169,0.498395,0.511645,0.513121,0.387520,0.991928,-0.688960,0.084817,0.572124,,0.527269,0.534720,0.499090,0.183960,0.999936,-0.155997,0.563002,0.347634,,0.576197,0.506994,0.383080,0.329145,-0.021382,0.100707,0.506922,-0.069214,0.529626,0.545211,0.079846,0.580917,0.093756,0.005138,0.003013,0.524444,-0.012298,0.004545,0.005249,0.329202,0.329202,0.507651,,-0.085312,-0.100669,0.564121,0.991928,0.044331,0.459204,-0.158733,0.075878,0.974360,-0.184700,-0.174865,0.349023,1.000000,0.525264,0.183589,,0.987759,0.987984,0.162493,0.219999,0.506774,-0.158499,0.142828,0.014979,0.030622,0.506771,0.418573,0.557352,0.557352,0.464968,0.325972,0.325113,0.244595,0.242628,0.314980,0.316054,0.500782,-0.004940,-0.056661,-0.008003,0.007078,-0.041720,-0.003065,-0.100669
selected_count,0.986770,0.323660,0.572820,-0.003201,0.489951,0.492990,0.264732,0.947732,0.986289,0.169448,0.913515,0.358940,0.372067,0.400909,0.920177,0.521591,-0.348226,0.226222,0.286221,,0.999938,0.998039,0.964959,0.424484,0.525324,-0.063042,0.337560,0.794622,,0.306307,0.977935,0.673410,0.175835,0.167633,0.239225,0.978029,0.565139,0.933543,0.855640,0.169492,0.307767,0.034794,0.002832,-0.004417,0.876843,-0.019960,0.010563,-0.000481,0.174301,0.174301,0.978322,,-0.216682,-0.241865,0.301530,0.521591,0.061549,0.986296,-0.065163,0.104860,0.499802,0.183564,-0.237088,0.121567,0.525264,1.000000,0.104556,,0.518354,0.518368,0.264285,0.481226,0.978019,-0.064240,0.108300,0.066374,0.080227,0.978022,0.557285,0.299600,0.299600,0.955648,0.629007,0.628718,0.602169,0.604478,0.624485,0.624745,0.998157,0.014573,-0.100275,-0.006434,0.030572,-0.103682,0.002004,-0.241865
skipped_by_bound,0.086345,0.023633,-0.018971,-0.038103,0.061668,0.060518,0.026979,0.066707,0.087100,0.080306,0.083121,0.125954,0.135246,0.169960,0.042541,0.178504,-0.018345,0.031827,0.012114,,0.105378,0.103962,0.061485,0.067089,0.194677,-0.112114,0.020838,0.058000,,0.082558,0.116898,0.091253,0.036884,-0.015261,0.034798,0.116808,-0.026678,0.135176,0.109094,0.054640,0.069643,0.058167,-0.012408,0.010183,0.103739,-0.019196,-0.008728,0.009778,0.038182,0.038182,0.116640,,-0.032062,-0.035616,0.114550,0.178504,0.012172,0.087106,-0.111785,0.015813,0.055398,-0.068483,-0.066550,0.153104,0.183589,0.104556,1.000000,,0.209974,0.197920,0.027646,0.080032,0.116790,-0.111744,0.082800,0.005771,0.011919,0.116787,0.013589,0.107139,0.107139,0.054237,0.057121,0.059059,0.036153,0.038168,0.067166,0.067229,0.098880,0.009709,-0.025191,0.005009,-0.004292,-0.019316,-0.007803,-0.035616
skipped_by_cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skipped_children,0.448134,0.408949,-0.049557,-0.101316,0.174643,0.174981,0.087687,0.470270,0.448527,0.126689,0.512220,0.501742,0.515609,0.515058,0.369255,0.960256,-0.574980,0.084040,0.443823,,0.520397,0.529680,0.489441,0.182376,0.988025,-0.158382,0.586168,0.338354,,0.443259,0.497710,0.386005,0.252357,-0.032401,0.099802,0.497629,-0.068768,0.521465,0.541990,0.078647,0.448188,0.095146,0.006276,0.003736,0.520870,-0.012061,0.005498,0.005875,0.257951,0.257952,0.498338,,-0.083689,-0.099649,0.556377,0.960256,0.016133,0.448526,-0.161410,0.026782,0.956920,-0.187811,-0.191297,0.346062,0.987759,0.518354,0.209974,,1.000000,0.999924,0.161597,0.218728,0.497485,-0.161186,0.144282,0.014241,0.030226,0.497486,0.428137,0.536123,0.536123,0.452458,0.320905,0.319920,0.238155,0.236507,0.310119,0.311280,0.492949,-0.006243,-0.058190,-0.009010,0.006299,-0.041649,-0.003229,-0.099649
skipped_infeasible,0.448198,0.409702,-0.049445,-0.101097,0.174315,0.174668,0.087573,0.470637,0.448582,0.126003,0.512488,0.501445,0.515230,0.514241,0.369667,0.960475,-0.576226,0.083855,0.444810,,0.520406,0.529731,0.489923,0.181999,0.988111,-0.157377,0.587411,0.338492,,0.443358,0.497516,0.385848,0.252541,-0.032292,0.099620,0.497437,-0.068609,0.521102,0.542008,0.078161,0.448462,0.094657,0.006449,0.003617,0.520901,-0.011850,0.005622,0.005767,0.258133,0.258133,0.498149,,-0.083500,-0.099457,0.556364,0.960475,0.016021,0.448581,-0.160417,0.026651,0.958681,-0.187431,-0.190950,0.345023,0.987984,0.518368,0.197920,,0.999924,1.000000,0.161664,0.218282,0.497292,-0.160193,0.143609,0.014205,0.030153,0.497293,0.429066,0.536151,0.536151,0.452937,0.321010,0.319998,0.238311,0.236634,0.310070,0.311233,0.492970,-0.006382,-0.058022,-0.009096,0.006369,-0.041513,-0.003139,-0.099457
slack,0.220712,0.146372,0.171915,-0.164208,-0.319340,-0.322550,0.247193,0.272515,0.221004,-0.151810,0.252993,0.413754,0.431245,0.486122,0.279992,0.160231,-0.092972,0.237149,0.079281,,0.262696,0.260658,0.277719,-0.525215,0.162457,-0.000870,0.096969,0.487152,,0.087504,0.248602,0.757300,0.050231,0.330669,0.344695,0.248526,0.138587,0.234090,0.564469,-0.083255,0.088627,-0.009265,0.008478,0.012332,0.534544,-0.041316,0.017770,0.016165,0.053552,0.053552,0.248756,,-0.312447,-0.342779,0.093370,0.160231,0.023159,0.221107,-0.001283,0.039737,0.139257,-0.105065,-0.251507,-0.216778,0.162493,0.264285,0.027646,,0.161597,0.161664,1.000000,-0.389406,0.248539,0.000117,0.084877,0.104074,0.112259,0.248511,0.162731,0.088469,0.088469,0.280780,0.912829,0.913380,0.896466,0.897439,0.905857,0.905628,0.277125,0.022984,-0.128316,-0.004893,0.026769,-0.147840,-0.011934,-0.342779
solution_density,0.496509,0.127104,0.214323,0.291088,0.957428,0.967040,0.183005,0.368290,0.495961,0.382351,0.364944,0.014372,0.013847,-0.003161,0.338542,0.217871,-0.148294,0.231784,0.117574,,0.482673,0.485361,0.371955,0.958853,0.220440,-0.131399,0.128358,0.219836,,0.124493,0.479999,-0.006822,0.071051,-0.178393,-0.093529,0.480096,0.278597,0.466357,0.214791,0.278787,0.124480,0.102259,-0.011658,-0.051158,0.247957,0.052954,-0.006927,-0.039187,0.072404,0.072404,0.479624,,0.073678,0.048705,0.126634,0.217871,0.016839,0.495905,-0.135166,0.028234,0.212070,0.408369,-0.082573,0.431530,0.219999,0.481226,0.080032,,0.218728,0.218282,-0.389406,1.000000,0.480163,-0.135385,0.079278,-0.021000,0.010744,0.480199,0.211806,0.127377,0.127377,0.362236,-0.112145,-0.112722,-0.124005,-0.123225,-0.120829,-0.120808,0.467855,0.006458,0.004194,-0.011363,0.058960,0.024184,0.030492,0.048705
solution_value,0.956583,0.326759,0.617888,0.051396,0.479935,0.482460,0.245530,0.963866,0.956319,0.255566,0.953556,0.420759,0.428846,0.433778,0.889177,0.505729,-0.363470,0.217071,0.294867,,0.978321,0.968496,0.943100,0.430167,0.507015,-0.166521,0.221442,0.765748,,0.311633,0.999999,0.644741,0.178528,0.134478,0.229822,1.000000,0.603962,0.983659,0.805785,0.244875,0.312129,0.097555,0.004946,-0.000921,0.829231,-0.016060,0.014129,0.002119,0.176133,0.176133,0.999993,,-0.211382,-0.230718,0.289842,0.505729,0.052859,0.956324,-0.166925,0.090388,0.485039,0.194333,-0.248315,0.167514,0.506774,0.978019,0.116790,,0.497485,0.497292,0.248539,0.480163,1.000000,-0.166141,0.182419,0.062005,0.076064,1.000000,0.395128,0.289169,0.289169,0.925872,0.602995,0.603278,0.561419,0.569643,0.598500,0.598962,0.976924,0.011246,-0.100820,-0.014952,0.026046,-0.099293,-0.000171,-0.230718
spearman_corr,0.000061,-0.046262,-0.013665,-0.551142,-0.000481,0.000174,0.290825,-0.090560,0.000076,-0.888212,-0.151629,-0.394984,-0.399935,-0.399923,0.036591,-0.155110,0.120029,-0.028196,-0.082833,,-0.069673,-0.049263,-0.029623,-0.164860,-0.159438,0.998858,0.092773,0.110234,,-0.077727,-0.167176,-0.062991,-0.043255,0.367922,-0.029510,-0.166126,-0.012253,-0.245862,-0.013165,-0.785328,-0.076484,-0.626962,0.046752,-0.006913,-0.004239,-0.056944,0.016172,-0.008373,-0.052495,-0.052495,-0.163524,,0.020474,0.038175,-0.088329,-0.155110,0.019686,0.000063,0.999816,0.033360,-0.144972,0.049856,0.430766,-0.492270,-0.158499,-0.064240,-0.111744,,-0.161186,-0.160193,0.000117,-0.135385,-0.166141,1.000000,-0.623059,0.034298,-0.016395,-0.166106,0.163642,-0.082725,-0.082725,0.000154,0.002204,0.000128,0.083919,0.068546,0.001017,0.000442,-0.051436,-0.018249,0.076743,0.026788,-0.003161,-0.012064,0.004425,0.038175
std_ratio,0.056727,0.071264,0.057553,0.352612,-0.011338,-0.006525,-0.120437,0.124318,0.055654,0.574590,0.167711,0.326426,0.329709,0.325234,0.025073,0.140202,-0.107941,0.147520,0.076490,,0.111667,0.097463,0.076627,0.085274,0.143469,-0.622719,-0.058397,-0.010584,,0.072804,0.183058,0.128865,0.040850,-0.150608,0.090769,0.182399,0.053955,0.238767,0.084105,0.502600,0.071898,0.938894,0.012942,-0.059827,0.076756,0.094360,0.025394,-0.050326,0.045318,0.045318,0.180714,,-0.085569,-0.195986,0.079947,0.140202,-0.012678,0.055718,-0.623717,-0.021493,0.132637,-0.032770,-0.422506,0.290470,0.142828,0.108300,0.082800,,0.144282,0.143609,0.084877,0.079278,0.182419,-0.623059,1.000000,0.047727,0.110270,0.182401,-0.101834,0.075851,0.075851,0.053701,0.094292,0.092926,0.032812,0.045768,0.097496,0.098370,0.100600,0.014974,-0.084257,-0.025657,0.113435,-0.050758,0.013305,-0.195986
std_value,0.067771,0.023251,0.039179,0.036209,-0.007463,-0.013805,0.130438,0.051261,0.068241,-0.024810,0.044388,0.022473,0.024431,0.048937,0.062084,0.015380,-0.011026,0.246716,0.010302,,0.064789,0.064655,0.054722,-0.028014,0.015013,0.031859,0.009493,0.108235,,0.011991,0.061930,0.094712,0.006792,0.370275,0.348605,0.061961,0.050336,0.054183,0.082440,0.004814,0.011917,0.060039,0.024437,0.065736,0.081594,-0.059000,0.001267,0.037895,0.006144,0.006144,0.062032,,-0.380624,-0.318289,0.008457,0.015380,0.004120,0.068348,0.035209,0.007009,0.012860,0.043974,-0.042253,-0.081280,0.014979,0.066374,0.005771,,0.014241,0.014205,0.104074,-0.021000,0.062005,0.034298,0.047727,1.000000,0.785046,0.061992,0.027269,0.008742,0.008742,0.057773,0.113658,0.113944,0.117340,0.117882,0.124248,0.123991,0.070226,0.588488,-0.621157,0.021215,0.430381,-0.532087,-0.042565,-0.318289
std_weight,0.073122,0.033139,0.038743,0.070428,-0.007630,-0.014502,0.097337,0.059585,0.073608,0.012846,0.056228,0.043716,0.046970,0.077291,0.061645,0.030523,-0.019333,0.310764,0.016583,,0.079265,0.079357,0.062023,0.007903,0.030692,-0.016156,0.018808,0.093477,,0.018601,0.076031,0.108652,0.010549,0.262695,0.402663,0.076015,0.049543,0.072548,0.098302,0.010282,0.018600,0.127601,0.014558,0.069541,0.096934,-0.059000,0.004517,0.050402,0.010531,0.010531,0.075927,,-0.311793,-0.401124,0.017465,0.030523,0.004657,0.073743,-0.016030,0.007872,0.026779,0.054131,-0.105946,-0.042186,0.030622,0.080227,0.011919,,0.030226,0.030153,0.112259,0.010744,0.076064,-0.016395,0.110270,0.785046,1.000000,0.076053,0.037243,0.017212,0.017212,0.062402,0.122538,0.122905,0.122479,0.122886,0.134054,0.133681,0.081546,0.462997,-0.523280,0.007589,0.562072,-0.670614,-0.061038,-0.401124
sum_improvement_amount,0.956585,0.326740,0.617893,0.051382,0.479966,0.482491,0.245488,0.963868,0.956321,0.255556,0.953558,0.420741,0.428827,0.433743,0.889176,0.505722,-0.363447,0.217064,0.294841,,0.978324,0.968501,0.943102,0.430202,0.507011,-0.166484,0.221452,0.765739,,0.311608,0.999999,0.644720,0.178525,0.134442,0.229800,1.000000,0.603966,0.983658,0.805776,0.244855,0.312104,0.097534,0.004963,-0.000914,0.829223,-0.016059,0.014141,0.002125,0.176129,0.176129,0.999994,,-0.211358,-0.230693,0.289836,0.505722,0.052857,0.956326,-0.166891,0.090387,0.485035,0.194346,-0.248330,0.167549,0.506771,0.978022,0.116787,,0.497486,0.497293,0.248511,0.480199,1.000000,-0.166106,0.182401,0.061992,0.076053,1.000000,0.395135,0.289163,0.289163,0.925873,0.602973,0.603256,0.561399,0.569624,0.598475,0.598938,0.976926,0.011226,-0.100812,-0.014967,0.026035,-0.099280,-0.000179,-0.230693
tie_count,0.558611,0.149642,0.078305,-0.110332,0.222614,0.223773,0.118229,0.413781,0.558449,-0.071635,0.314603,0.045451,0.072763,0.166806,0.541112,0.401732,-0.147008,0.094288,0.133247,,0.557141,0.582984,0.565085,0.177260,0.417820,0.171690,0.711151,0.402006,,0.154406,0.395015,0.415375,0.090053,0.082673,0.109349,0.395172,0.086419,0.284199,0.574625,-0.038136,0.159325,-0.100260,0.017975,0.000415,0.569997,-0.003794,0.014865,0.002129,0.094380,0.094380,0.395921,,-0.082331,-0.110525,0.242706,0.401732,0.061559,0.558443,0.163040,0.103893,0.388989,-0.007532,-0.071187,-0.045394,0.418573,0.557285,0.013589,,0.428137,0.429066,0.162731,0.211806,0.395128,0.163642,-0.101834,0.027269,0.037243,0.395135,1.000000,0.232261,0.232261,0.579970,0.369817,0.366736,0.385891,0.363572,0.353925,0.353323,0.544847,-0.008257,-0.049088,-0.002365,0.012462,-0.046572,-0.001432,-0.110525
time_millis,0.266593,0.341913,-0.021003,-0.057719,0.106262,0.106621,0.053092,0.274796,0.266661,0.068418,0.293952,0.262481,0.270305,0.276623,0.230829,0.564868,-0.440339,0.048782,0.381806,,0.300673,0.303441,0.284842,0.107327,0.557371,-0.081472,0.302385,0.202430,,0.398590,0.289278,0.210431,0.699079,-0.002641,0.057594,0.289251,-0.030416,0.299285,0.304904,0.043562,0.401103,0.049006,0.001903,0.001322,0.294154,-0.007499,0.001577,0.002689,0.684827,0.684828,0.289664,,-0.049121,-0.057672,0.984507,0.564868,0.194484,0.266660,-0.082870,0.109361,0.544822,-0.092710,-0.086080,0.196665,0.557352,0.299600,0.107139,,0.536123,0.536151,0.088469,0.127377,0.289169,-0.082725,0.075851,0.008742,0.017212,0.289163,0.232261,1.000000,1.000000,0.268791,0.184339,0.183956,0.142599,0.141114,0.178868,0.179387,0.286727,-0.001890,-0.030744,-0.003321,0.004181,-0.023682,-0.001586,-0.057672
time_nanos,0.266593,0.341913,-0.021003,-0.057719,0.106262,0.106621,0.053092,0.274796,0.266661,0.068418,0.293952,0.262481,0.270305,0.276623,0.230829,0.564868,-0.440339,0.048782,0.381806,,0.300673,0.303441,0.284842,0.107327,0.557371,-0.081472,0.302385,0.202430,,0.398590,0.289278,0.210431,0.699079,-0.002641,0.057594,0.289251,-0.030416,0.299285,0.304904,0.043562,0.401103,0.049006,0.001903,0.001322,0.294154,-0.007499,0.001577,0.002689,0.684827,0.684828,0.289664,,-0.049121,-0.057672,0.984507,0.564868,0.194484,0.266660,-0.082870,0.109361,0.544822,-0.092710,-0.086080,0.196665,0.557352,0.299600,0.107139,,0.536123,0.536151,0.088469,0.127377,0.289169,-0.082725,0.075851,0.008742,0.017212,0.289163,0.232261,1.000000,1.000000,0.268791,0.184339,0.183956,0.142599,0.141114,0.178868,0.179387,0.286727,-0.001890,-0.030744,-0.003321,0.004181,-0.023682,-0.001586,-0.057672
